BLOCK,BLOCK_TIMESTAMP,BLUNA_PRICE,BETH_PRICE
4209947,2021-08-20T14:31:18Z,29.226895818630094,3253.22960428
4209945,2021-08-20T14:31:03Z,29.213349989473386,3253.22960428
4209943,2021-08-20T14:30:49Z,29.213349989473386,3253.22960428
4209940,2021-08-20T14:30:30Z,29.213349989473386,3253.22960428
4209938,2021-08-20T14:30:16Z,29.222427643028265,3253.22960428
4209936,2021-08-20T14:30:02Z,29.222427643028265,3253.22960428
4209934,2021-08-20T14:29:48Z,29.225832421408196,3253.22960428
4209931,2021-08-20T14:29:28Z,29.225832421408196,3253.22960428
4209929,2021-08-20T14:29:15Z,29.269840540422138,3253.22960428
4209927,2021-08-20T14:29:01Z,29.269840540422138,3253.22960428
4209925,2021-08-20T14:28:47Z,29.39191535912349,3253.22960428
4209923,2021-08-20T14:28:34Z,29.39191535912349,3253.22960428
4209920,2021-08-20T14:28:13Z,29.39191535912349,3253.22960428
4209918,2021-08-20T14:27:59Z,29.389820629399587,3253.22960428
4209916,2021-08-20T14:27:45Z,29.389820629399587,3253.22960428
4209914,2021-08-20T14:27:30Z,29.455815520572525,3253.22960428
4209912,2021-08-20T14:27:17Z,29.455815520572525,3253.22960428
4209910,2021-08-20T14:27:04Z,29.445080227064338,3253.22960428
4209907,2021-08-20T14:26:44Z,29.445080227064338,3253.22960428
4209905,2021-08-20T14:26:31Z,29.461446268771567,3253.22960428
4209903,2021-08-20T14:26:17Z,29.461446268771567,3253.22960428
4209901,2021-08-20T14:26:03Z,29.461446268771567,3253.22960428
4209899,2021-08-20T14:25:49Z,29.489924409692236,3253.22960428
4209896,2021-08-20T14:25:29Z,29.489924409691813,3253.22960428
4209894,2021-08-20T14:25:14Z,29.489874095465094,3253.22960428
4209893,2021-08-20T14:25:07Z,,3253.22960428
4209890,2021-08-20T14:24:47Z,29.488078943864615,3253.22960428
4209888,2021-08-20T14:24:34Z,29.488078943864615,3253.23542666
4209886,2021-08-20T14:24:19Z,29.488078943864615,3253.23542666
4209883,2021-08-20T14:23:59Z,29.45454344986779,3253.23542666
4209881,2021-08-20T14:23:46Z,29.45454344986779,3253.23542666
4209879,2021-08-20T14:23:33Z,29.44622271391286,3253.23542666
4209877,2021-08-20T14:23:20Z,29.44622271391286,3253.23542666
4209874,2021-08-20T14:22:59Z,29.456116499381576,3253.23542666
4209872,2021-08-20T14:22:41Z,29.456116499381576,3253.23542666
4209871,2021-08-20T14:22:34Z,29.456116499381576,3253.23542666
4209868,2021-08-20T14:22:13Z,29.465017735163357,3253.23542666
4209866,2021-08-20T14:22:00Z,29.465017735163357,3253.13968227
4209864,2021-08-20T14:21:46Z,29.403681938620387,3253.13968227
4209861,2021-08-20T14:21:20Z,29.403681938620387,3253.13968227
