blocktime,change,cum_sum,incentives,stSOL_price,incentive_price,stSOL_usd,incentives_usd
2021-09-08,9387.535900000006,9387.535900000006,0.0,,,,
2021-09-09,29717.427339998983,39104.96323999899,0.0,,,,
2021-09-10,207009.98259999813,246114.94583999712,0.0,,,,
2021-09-11,8671.498300000996,254786.44413999812,0.0,,,,
2021-09-12,79995.387098718,334781.83123871614,0.0,,,,
2021-09-13,64416.45253537102,399198.28377408715,0.0,,,,
2021-09-14,7232.854699999001,406431.1384740861,0.0,,,,
2021-09-15,12533.375700001001,418964.51417408715,0.0,,,,
2021-09-16,18734.732958774,437699.2471328612,0.0,,,,
2021-09-17,71174.96196048609,508874.20909334725,0.0,,,,
2021-09-18,43256.86032239603,552131.0694157432,0.0,,,,
2021-09-19,6148.353820856,558279.4232365992,0.0,,,,
2021-09-20,-244.68347243000062,558034.7397641692,0.0,,,,
2021-09-21,780.6935455079998,558815.4333096772,0.0,,,,
2021-09-22,2967.880319476999,561783.3136291541,0.0,,,,
2021-09-23,1782.030005253,563565.3436344072,0.0,,,,
2021-09-24,6046.961370031,569612.3050044382,0.0,,,,
2021-09-25,7235.436864882999,576847.7418693211,0.0,,,,
2021-09-26,5407.174037152026,582254.9159064731,0.0,,,,
2021-09-27,6701.299243859999,588956.215150333,0.0,,,,
2021-09-28,69.73589798400027,589025.951048317,0.0,,,,
2021-09-29,-1756.889423274,587269.061625043,0.0,,,,
2021-09-30,24236.251480094048,611505.3131051371,0.0,,,,
2021-10-01,7839.910169144998,619345.2232742821,0.0,,,,
2021-10-02,1563.3285152139995,620908.5517894961,0.0,,,,
2021-10-03,7398.8379497939995,628307.3897392901,0.0,,,,
2021-10-04,-1643.2072999180002,626664.1824393721,0.0,,,,
2021-10-05,-3320.6208737250004,623343.561565647,0.0,,,,
2021-10-06,300705.8111010818,924049.3726667288,0.0,,,,
2021-10-07,-13394.288746035,910655.0839206938,0.0,,,,
2021-10-08,26551.30896575001,937206.3928864439,0.0,,,,
2021-10-09,1269.608059247001,938476.0009456909,0.0,,,,
2021-10-10,82967.52934041897,1021443.5302861099,0.0,,,,
2021-10-11,3411.1616428999996,1024854.6919290099,0.0,,,,
