blocktime,Price
2021-10-12,3.8050507309762374
2021-10-13,3.5360803740836166
2021-10-14,3.7255581238885163
2021-10-15,4.139435413727106
2021-10-16,4.033363612595385
2021-10-17,3.737817276106773
2021-10-18,3.558272922620746
2021-10-19,3.295389861196961
2021-10-20,3.413603586002973
2021-10-21,3.8066613739270774
2021-10-22,3.474657668087633
2021-10-23,3.5319990881248713
2021-10-24,3.6343754539633264
2021-10-25,3.4787295330408896
2021-10-26,3.2793819734291154
2021-10-27,3.534268816535632
2021-10-28,3.2130270075628005
2021-10-29,3.490901001591678
2021-10-30,3.5549231698768273
2021-10-31,3.431231401075986
2021-11-01,3.261472109457694
2021-11-02,3.1697914302749974
2021-11-03,2.9831518886482646
2021-11-04,2.844384163477094
2021-11-05,2.7255706641050677
2021-11-06,3.237638336648532
2021-11-07,3.9792920563114573
2021-11-08,4.125236773129519
2021-11-09,4.154373972007704
2021-11-10,4.100424291217625
2021-11-11,4.2528237129621065
2021-11-12,4.2293023918025225
2021-11-13,4.426369144726687
2021-11-14,5.466494162504728
2021-11-15,5.267659323766959
2021-11-16,4.269900471636475
2021-11-17,3.8759113647312646
2021-11-18,3.799160903271895
2021-11-19,3.846737209907569
2021-11-20,4.9554209608677064
2021-11-21,4.834512226436511
2021-11-22,4.323630164940798
2021-11-23,3.810610430752348
2021-11-24,3.6712094231046746
2021-11-25,3.61185598237737
2021-11-26,3.862050421604264
2021-11-27,3.6724235840012693
2021-11-28,3.4481578008649842
2021-11-29,3.9108513830274534
2021-11-30,4.229296841904126
2021-12-01,4.291391279595021
2021-12-02,3.88890409040485
2021-12-03,3.506907341035028
2021-12-04,3.290767064217658
2021-12-05,3.084154336343815
2021-12-06,4.06482153951701
2021-12-07,3.74456269374553
2021-12-08,3.57091114753549
2021-12-09,3.72199344156614
2021-12-10,3.19956543486895
2021-12-11,3.21410561996597
2021-12-12,2.98617655905357
2021-12-13,3.06666390411423
2021-12-30,2.6666108872879497
2021-12-31,2.9867753804123116
2022-01-01,3.104049045469244
2022-01-02,3.7250352142523395
2022-01-03,3.6732304477884536
2022-01-04,3.3145051349179973
2022-01-05,3.3088055787718047
2022-01-06,3.20226805065214
2022-01-07,2.945044374848138
2022-01-08,2.644883474115713
2022-01-09,2.6796987742546623
2022-01-10,2.9280907142263137
2022-01-11,2.7076012629716364
2022-01-12,2.9733054440298643
2022-01-13,2.8879461272283735
2021-12-14,2.4874266651581896
2021-12-15,2.9266841197620908
2021-12-16,2.994744641470248
2021-12-17,3.4753956049116574
2021-12-18,3.190817123592333
2021-12-19,3.0354522090636333
2021-12-20,2.8597058490638556
2021-12-21,2.858579546663054
2021-12-22,2.999830323436832
2021-12-23,3.0938038642006456
2021-12-24,3.0384131395232843
2021-12-25,2.856605404589607
2021-12-26,2.8764228364391298
2021-12-27,2.6837328091212775
2021-12-28,2.8947594394741576
2021-12-29,2.987565077819525
2022-01-14,2.6707114348530694
2022-01-15,2.5582876506009535
2022-01-16,2.520292249037129
2022-01-17,2.481244874341739
2022-01-18,2.1673661265068924
2022-01-19,2.3493883461708274
2022-01-20,2.2182979775782705
2022-01-21,2.171105850548252
2022-01-22,1.8948012811876431
2022-01-23,1.7299495258214326
2022-01-24,1.5267593825476518
2022-01-25,1.6364638363473858
2022-01-26,1.730305014962219
2022-01-27,1.678702739801184
2022-01-28,1.7952354991362032
2022-01-29,1.7235252407089456
2022-01-30,1.7588854658839235
2022-01-31,1.8336553523887142
2022-02-01,2.0220075434016613
2022-02-02,2.0556437630366924
2022-02-03,2.129800570611778
2022-02-04,1.9677008403188583
2022-02-05,2.019752007848941
2022-02-06,2.043634434745108
2022-02-07,2.114012666097649
2022-02-08,2.1866246072687825
2022-02-09,2.116045119820927
2022-02-10,1.9976043567309836
2022-02-11,1.721077480000997
2022-02-12,1.6162725755426424
2022-02-13,1.6418890267681392
2022-02-14,1.4979246614204635
2022-02-15,1.5346367211786804
2022-02-16,1.7667435536381337
2022-02-17,1.8399785874899341
