blocktime,Price
2021-10-12,3671.5212553399506
2021-10-13,3636.6164418565563
2021-10-14,3712.43009332221
2021-10-15,3931.0581178698058
2021-10-16,4048.4048028495367
2021-10-17,3999.7106438609467
2021-10-18,3979.329335757798
2021-10-19,3892.5082663201415
2021-10-20,4007.8586411471993
2021-10-21,4302.941195429321
2021-10-22,4247.007520126403
2021-10-23,4141.810175043325
2021-10-24,4338.272512947537
2021-10-25,4238.209218253404
2021-10-26,4378.160427781001
2021-10-27,4321.594461447171
2021-10-28,4119.008801710557
2021-10-29,4374.777645956122
2021-10-30,4594.72871971832
2021-10-31,4463.428337904398
2021-11-01,4465.261140142534
2021-11-02,4489.1230868556295
2021-11-03,4760.722903217743
2021-11-04,4795.931034682413
2021-11-05,4721.558255878432
2021-11-06,4663.050292931662
2021-11-07,4689.48893950258
2021-11-08,4807.61299747594
2021-11-09,5003.970546341972
2021-11-10,4962.308355990602
2021-11-11,4818.964566090906
2021-11-12,4922.629422706349
2021-11-13,4875.791300531742
2021-11-14,4854.107654943257
2021-11-15,4792.6117781837875
2021-11-16,4782.793399530504
2021-11-17,4426.01602803084
2021-11-18,4473.230359910446
2021-11-19,4165.108269236668
2021-11-20,4477.959026770053
2021-11-21,4609.847095553037
2021-11-22,4482.252047257449
2021-11-23,4264.065539473827
2021-11-24,4508.714938980915
2021-11-25,4432.032675105608
2021-11-26,4664.902049582664
2021-11-27,4216.3328663900475
2021-11-28,4245.598345305445
2021-11-29,4463.813087315981
2021-11-30,4594.765639875212
2021-12-01,4834.3022119597845
2021-12-02,4739.598039667471
2021-12-03,4679.938355319562
2021-12-04,4421.3604626331635
2021-12-05,4277.468869340718
2021-12-06,4335.073411092492
2021-12-07,4510.036069108512
2021-12-08,4491.539847536123
2021-12-09,4611.703465301149
2021-12-10,4328.270126266129
2021-12-11,4091.596006072343
2021-12-12,4255.062969623935
2021-12-13,4313.525380653944
2021-12-14,3943.168128209998
2021-12-15,4027.821821158689
2021-12-16,4195.12766190808
2021-12-17,4156.502046615031
2021-12-18,4074.148084748862
2021-12-19,4144.968436242326
2021-12-20,4117.566477070887
2021-12-21,4131.192099466839
2021-12-22,4224.771039638374
2021-12-23,4190.295653605652
2021-12-24,4309.278887075996
2021-12-25,4225.011722061567
2021-12-26,4302.781582730959
2021-12-27,4266.911075614723
2021-12-28,4223.666360272712
2021-12-29,3987.257430764589
2021-12-30,3820.7410140988527
2021-12-31,3904.4030640342717
2022-01-01,3874.8932377501096
2022-01-02,3966.520509963648
2022-01-03,3994.3529009250806
2022-01-04,3960.5445293106277
2022-01-05,3982.660963849443
2022-01-06,3761.2456854188868
2022-01-07,3604.6874063351243
2022-01-08,3370.1983655230965
2022-01-09,3258.465659376932
2022-01-10,3325.1277041312524
2022-01-11,3258.798795487588
2022-01-12,3409.9629680561425
2022-01-13,3575.027149728763
2022-01-14,3428.963994411764
2022-01-15,3445.9094141569694
2022-01-16,3523.1245824231187
2022-01-17,3505.603956671582
2022-01-18,3391.37008525996
2022-01-19,3341.732258979428
2022-01-20,3280.0238073471646
2022-01-21,3190.7391709141034
2022-01-22,2702.356359438968
2022-01-23,2543.5911880207245
2022-01-24,2676.0753828225807
2022-01-25,2573.0077445111338
2022-01-26,2587.871004478771
2022-01-27,2609.907451761202
2022-01-28,2521.4444716172984
2022-01-29,2686.494380415639
2022-01-30,2734.6394612945073
2022-01-31,2754.557212760324
2022-02-01,2838.6077363174713
