blocktime,Price
2021-09-15,158.56744897141394
2021-09-16,158.56744897141394
2021-09-17,150.54902254498302
2021-09-18,146.1447289811408
2021-09-19,170.06233567203006
2021-09-20,154.01953549011546
2021-09-21,132.70340501034428
2021-09-22,124.4724161028432
2021-09-23,148.29048559135396
2021-09-24,148.56034484332784
2021-09-25,141.2643990600585
2021-09-26,135.04632042036096
2021-09-27,135.83949861508435
2021-09-28,137.8309027631649
2021-09-29,133.25137666062298
2021-09-30,134.16332786308533
2021-10-01,141.25352232721318
2021-10-02,159.24508379804044
2021-10-03,171.08622120385812
2021-10-04,171.65019296980964
2021-10-05,166.9159172046618
2021-10-06,164.72549452117028
2021-10-07,155.1689893697156
2021-10-08,150.61804749147598
2021-10-09,158.65066883383494
2021-10-10,156.7122914230038
2021-10-11,149.04986850040305
2021-10-12,145.01101309267003
2021-10-13,150.52315578823308
2021-10-14,148.74867520611326
2021-10-15,150.07132205035228
2021-10-16,163.42678284551627
2021-10-17,157.81579505784637
2021-10-18,158.9391814477123
2021-10-19,157.0941800641442
2021-10-20,156.12350907473245
2021-10-21,174.61426699240593
2021-10-22,187.74515621730387
2021-10-23,198.6793729587388
2021-10-24,198.42503821215092
2021-10-25,204.15749446902453
2021-10-26,213.0019642431225
2021-10-27,201.93526405140977
2021-10-28,185.81169420269734
2021-10-29,195.98022772606575
2021-10-30,201.14728326352693
2021-10-31,195.0221712365919
2021-11-01,203.799561463312
2021-11-02,207.9864565
2021-11-03,220.71617699561463
2021-11-04,244.04351480761156
2021-11-05,250.883374055388
2021-11-06,239.46801734923423
2021-11-07,259.38363163175876
2021-11-08,252.03373043174602
2021-11-09,250.30981526814094
2021-11-10,242.34948827708936
2021-11-11,234.68077162142228
2021-11-12,237.78783205464904
2021-11-13,231.22407764976973
2021-11-14,242.91961735312563
2021-11-15,242.0983284622999
2021-11-16,241.03840247523635
2021-11-17,224.34305174163438
2021-11-18,220.77609124818989
2021-11-19,196.17710770684965
2021-11-20,216.6063222288806
2021-11-21,220.76184419192631
2021-11-22,235.69311070196667
2021-11-23,219.26265221649044
2021-11-24,225.02917223454986
2021-11-25,207.32247069814537
2021-11-26,212.23538426832104
2021-11-27,195.49350652322568
2021-11-28,194.3070002152538
2021-11-29,201.41784419900497
2021-11-30,207.17300376067607
2021-12-01,211.58177917988073
2021-12-02,231.5409037461502
2021-12-03,236.56478861689766
2021-12-04,215.4186150193837
2021-12-05,202.84579754620287
2021-12-06,197.96831403742374
2021-12-07,196.8422644341935
2021-12-08,192.03794584430182
2021-12-09,196.261602382799
2021-12-10,184.3841187707431
2021-12-11,172.1031074116272
2021-12-12,173.45278095652398
2021-12-13,176.70938280932168
2021-12-14,159.06671487997505
2021-12-15,162.63194082854676
2021-12-16,179.52949411646188
2021-12-17,178.55676041940382
2021-12-18,178.1298108610296
2021-12-19,186.05375039655786
2021-12-20,183.9697948766121
2021-12-21,177.9774918403131
2021-12-22,183.69395282549507
2021-12-23,182.31590036618402
2021-12-24,193.80703289583835
2021-12-25,193.31664972868154
2021-12-26,197.05365509396287
2021-12-27,201.61483502461382
2021-12-28,199.98454162271656
2021-12-29,181.97973664959244
2021-12-30,175.03260641525944
2021-12-31,175.76393775963342
2022-01-01,173.27784103218136
2022-01-02,181.9444059506193
2022-01-03,179.67208464287833
2022-01-04,173.99632106609656
2022-01-05,171.36240231868604
2022-01-06,157.8933844541727
2022-01-07,154.07220059934332
2022-01-08,139.4310004901934
2022-01-09,145.8310004901934
2022-01-09,145.82710895843826
2022-01-10,143.9520767505804
2022-01-11,138.52682120459937
2022-01-12,143.27248327798023
2022-01-13,155.41328758846316
2022-01-14,149.6459398836306
2022-01-15,149.48066398455907
2022-01-16,150.62582870820034
2022-01-17,150.83581178901545
2022-01-18,143.0914207749054
2022-01-19,144.6800577946372
2022-01-20,138.59178101239254
2022-01-21,131.46610166313755
2022-01-22,113.63993438868843
2022-01-23,95.8794917565401
2022-01-24,100.77835077529485
2022-01-25,93.42313214801212
2022-01-26,97.32214461069167
2022-01-27,93.97038674384063
2022-01-28,91.45614565763567
2022-01-29,92.9474258437078
2022-01-30,98.24972474407977
2022-01-31,95.47671070627729
2022-02-01,101.8201165145449
