blocktime,Price
2021-09-15,157.37799350381528
2021-09-16,158.59633983839294
2021-09-17,151.94834110204062
2021-09-18,147.58433443491424
2021-09-19,170.10982401213687
2021-09-20,153.326441718045
2021-09-21,133.36872474347524
2021-09-22,122.69238861731206
2021-09-23,148.3293541912427
2021-09-24,150.3896531797567
2021-09-25,139.31414597542954
2021-09-26,136.8354526288871
2021-09-27,135.79593311002097
2021-09-28,136.25952148124458
2021-09-29,130.60489190775277
2021-09-30,135.27916281520976
2021-10-01,141.1837464924982
2021-10-02,161.3740294980268
2021-10-03,169.20884384676515
2021-10-04,172.855870204067
2021-10-05,167.8779097499281
2021-10-06,164.36927639016088
2021-10-07,154.09462360903782
2021-10-08,154.25988506624046
2021-10-09,158.91461108327633
2021-10-10,157.3354214402797
2021-10-11,147.69627281665322
2021-10-12,144.85910794492872
2021-10-13,152.00078829875227
2021-10-14,148.39205395880688
2021-10-15,150.09136322362892
2021-10-16,160.86349202431006
2021-10-17,158.37532489090881
2021-10-18,159.86349202431006
2021-10-19,157.37532489090881
2021-10-20,156.39068064885493
2021-10-21,175.60195629220317
2021-10-22,189.05931890382809
2021-10-23,197.83389968834183
2021-10-24,198.30695225047282
2021-10-25,203.16528895289179
2021-10-26,211.19080150794161
2021-10-27,199.75011389046043
2021-10-28,183.54274956995576
2021-10-29,195.08625966302498
2021-10-30,199.7845325480303
2021-10-31,193.33785373845146
2021-11-01,202.39144718715852
2021-11-02,203.81420779167425
2021-11-03,220.65381148740764
2021-11-04,242.04614187434888
2021-11-05,249.06288567609292
2021-11-06,237.88946143331174
2021-11-07,259.23955828664066
2021-11-08,250.36479323196647
2021-11-09,248.8224986641578
2021-11-10,239.42042668071062
2021-11-11,233.07366976619127
2021-11-12,234.8643324134869
2021-11-13,229.39855731141944
2021-11-14,241.33480045995515
2021-11-15,239.51447253719712
2021-11-16,238.76462750446106
2021-11-17,220.09764163324894
2021-11-18,219.10555534624334
2021-11-19,195.0785065693146
2021-11-20,215.83494421153327
2021-11-21,218.32939968667216
2021-11-22,232.44114562844396
2021-11-23,216.39900684614148
2021-11-24,222.09815823221743
2021-11-25,205.54865275061945
2021-11-26,209.79215190984442
2021-11-27,192.14742617788187
2021-11-28,192.13619982447634
2021-11-29,200.46141949418416
2021-11-30,204.35042327956776
2021-12-01,208.705589094445
2021-12-02,229.4487239706693
2021-12-03,232.57222783967566
2021-12-04,212.13388531266622
2021-12-05,200.94131044922477
2021-12-06,196.56894708665507
2021-12-07,193.89173190285274
2021-12-08,190.37257114243482
2021-12-09,194.30116864643182
2021-12-10,181.75158018469773
2021-12-11,169.46107045067666
2021-12-12,171.84456471947678
2021-12-13,173.73511343008292
2021-12-14,155.08489768608015
2021-12-15,161.06018556882867
2021-12-16,178.2619337658359
2021-12-17,176.80558474391322
2021-12-18,175.79063841353098
2021-12-19,182.9705669569821
2021-12-20,179.93839883526266
2021-12-21,174.37115871651199
2021-12-22,180.12601919521373
2021-12-23,178.57398150636655
2021-12-24,190.51215929842786
2021-12-25,190.4403687480951
2021-12-26,193.28925387578548
2021-12-27,198.19740128641658
2021-12-28,196.0391793952204
2021-12-29,178.29769922040717
2021-12-30,171.27231463236643
2021-12-31,172.50889438021562
2022-01-01,170.1966082645718
2022-01-02,178.88879762342907
2022-01-03,176.32149989503122
2022-01-04,170.57083886740085
2022-01-05,168.0394848714517
2022-01-06,155.71670664692078
2022-01-07,150.72362465772903
2022-01-08,136.6133086353095
2022-01-09,142.37691491093904
2022-01-10,140.97069019412947
2022-01-11,135.98215275078118
2022-01-12,140.2633692449685
2022-01-13,151.92225384391546
2022-01-14,146.8991625118502
2022-01-15,146.31283636345285
2022-01-16,147.70351003866236
2022-01-17,147.94236767494985
2022-01-18,140.0483723855377
