blocktime,Price
2021-10-12,154.1627149479035
2021-10-13,154.1627149479035
2021-10-14,150.22448779179365
2021-10-15,151.83652462529372
2021-10-16,164.84380702618398
2021-10-17,160.37369197289522
2021-10-18,161.37029972637652
2021-10-19,159.4429823504303
2021-10-20,158.28354969639108
2021-10-21,175.97836686420933
2021-10-22,190.70048365418822
2021-10-23,200.2162779207842
2021-10-24,199.97216526422696
2021-10-25,204.89613783727293
2021-10-26,213.63669536241713
2021-10-27,201.8904023418162
2021-10-28,185.29932840701335
2021-10-29,197.4455309297101
2021-10-30,202.4806891097314
2021-10-31,195.17651625454886
2021-11-01,204.6312784612744
2021-11-02,206.467836376673
2021-11-03,220.7657319547253
2021-11-04,246.15999480861626
2021-11-05,252.34432535753263
2021-11-06,240.7183537916864
2021-11-07,261.93088882580537
2021-11-08,253.7355357638095
2021-11-09,251.74078112377185
2021-11-10,243.31670062765795
2021-11-11,235.16382459520756
2021-11-12,239.43288977776
2021-11-13,233.88572489129552
2021-11-14,243.98772616725807
2021-11-15,243.042747442528
2021-11-16,242.06296654716536
2021-11-17,225.75853442240032
2021-11-18,221.56098413295618
2021-11-19,197.49828773928218
2021-11-20,218.4182827843633
2021-11-21,221.5741295961002
2021-11-22,236.77509304246948
2021-11-23,220.67141807292933
2021-11-24,225.98956035826825
2021-11-25,209.08377238881394
2021-11-26,213.44264988740946
2021-11-27,196.86253623627331
2021-11-28,195.93465501591712
2021-11-29,203.0445957494955
2021-11-30,208.14574730260412
2021-12-01,212.54685224406387
2021-12-02,231.12261063561544
