transaction,blocktime,token_acc,token,balance,change
2MkMsae2XQoChA2WoEWLqAkiVkGaHoT6CtvSDsdKb98tPDrW4Cvsgaw49c2h8wLBjQ38sYUVnbfgc6zoJR83s9K3,1643372643,7mXdrVRYdq5Paz5gRFCRz6RTsadz9niNcA5m4JgE8pU8,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.451829344,-26.1095
2MkMsae2XQoChA2WoEWLqAkiVkGaHoT6CtvSDsdKb98tPDrW4Cvsgaw49c2h8wLBjQ38sYUVnbfgc6zoJR83s9K3,1643372643,FFYzMyUak18yNFnbZnq1LyPrKSPeRcv9sUfiurUwo7By,9MqZtREtEjo8CGKPuUcxAJKEQLovijFWrHpoNyP23TKT,3305,3305.0
2MkMsae2XQoChA2WoEWLqAkiVkGaHoT6CtvSDsdKb98tPDrW4Cvsgaw49c2h8wLBjQ38sYUVnbfgc6zoJR83s9K3,1643372643,2vHToQbpBwMCZnS8e321JdudEfre7PUG44keDLQ5hw52,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,27.046751546,26.1095
2MkMsae2XQoChA2WoEWLqAkiVkGaHoT6CtvSDsdKb98tPDrW4Cvsgaw49c2h8wLBjQ38sYUVnbfgc6zoJR83s9K3,1643372643,DvAfiruzWb7tmtDQ4LC532eCbrafvBgRpNriKQYp5Han,9MqZtREtEjo8CGKPuUcxAJKEQLovijFWrHpoNyP23TKT,0,-3305.0
2MkMsae2XQoChA2WoEWLqAkiVkGaHoT6CtvSDsdKb98tPDrW4Cvsgaw49c2h8wLBjQ38sYUVnbfgc6zoJR83s9K3,1643372643,3mrFdAXXbQnGZfZRU9iMjCEbegCynT1n28NhgwjDRCUH,SOL,687.313033183,-5e-06
2j2bhcxMJJpRPNSwNEVKtUPrPhcS1kq9Px2vg1DRS3VPijEBjR4kMCQQZ9bM9oWyAK5oaejedBgd6W4mhEWDK7dU,1643344502,5PFc4ho1uUbYKA7B3nHaLZJuh9SvBdzSMADTSpq8YZRU,SOL,0.124057281,-0.00145268
2j2bhcxMJJpRPNSwNEVKtUPrPhcS1kq9Px2vg1DRS3VPijEBjR4kMCQQZ9bM9oWyAK5oaejedBgd6W4mhEWDK7dU,1643344502,53Rx4mJi1ENdEd8LzjL7r8xCe2LPjeqjsHNvmXsyzCQ9,SOL,0.00144768,0.00144768
5Yfttc1D8osEvM271hvEaUfr5qcDFMiP9G5sqfaDUa4QB4BVjxUCt8iCYi9Cxo1Zh5FzD5u1GxxXM1hPMJRNor2r,1642997408,CccdA3invTA3L3vunFyXXFvHFKF3ts593Wa55A2GKKyG,SOL,0.135287409,-0.00145268
5Yfttc1D8osEvM271hvEaUfr5qcDFMiP9G5sqfaDUa4QB4BVjxUCt8iCYi9Cxo1Zh5FzD5u1GxxXM1hPMJRNor2r,1642997408,C8Xh2W3QUe9ci2tcToRRLyTW5ytyL7VsGzn7rRVbwULF,SOL,0.00144768,0.00144768
4Q83xfZpZ7h1mkP7DRPjHpQd9uYhuYTztvXZqCoRRjya4htY8vWy5wXyTJifmYHa5E1qr22Zw9Jmtzy5UVyCWqj9,1642826824,8BaVohngVXb53VDmxWsvaipT3njuyMUUg8KpYPwLqRb8,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,1.005099477,1.005099477
