transaction,blocktime,token_acc,token,balance,change
2AXShSGNe8Pg4sEdm83ZKEpdEvfuXqhDZ1piXmaMw3xYXU1bFC7kcjj5EYjHAf5TpHmNvzVMkErU91xH8ryadSTs,1642449062,FWJusJswgsnAUnh6qG5MVwpBJ9dbEEeQThHWmRc63N2A,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,0,0.0
2AXShSGNe8Pg4sEdm83ZKEpdEvfuXqhDZ1piXmaMw3xYXU1bFC7kcjj5EYjHAf5TpHmNvzVMkErU91xH8ryadSTs,1642449062,7S3J1bPiK6AbiEQPEfQ9CAu1m4xb5ddrwZrHNPesL6Y5,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,0.0
2AXShSGNe8Pg4sEdm83ZKEpdEvfuXqhDZ1piXmaMw3xYXU1bFC7kcjj5EYjHAf5TpHmNvzVMkErU91xH8ryadSTs,1642449062,6YzAnKg3qAu1wudWhHxtCgiq2c4zJyGYZCEmsyBB2yEm,EufS4F27HudL7rc8mBSUJCSZHVPDPLMo51MAVbSUvKZV,0,0.0
2AXShSGNe8Pg4sEdm83ZKEpdEvfuXqhDZ1piXmaMw3xYXU1bFC7kcjj5EYjHAf5TpHmNvzVMkErU91xH8ryadSTs,1642449062,3yWnWpwDqDsJVGKQSuCRMHcMettXdCpXW6Lndfpyw1ua,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,22.33291574,0.0
2AXShSGNe8Pg4sEdm83ZKEpdEvfuXqhDZ1piXmaMw3xYXU1bFC7kcjj5EYjHAf5TpHmNvzVMkErU91xH8ryadSTs,1642449062,AnnDPwiocbc4tSJSbrnTtREcH5YSVUa4gSajJLhRjWYq,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.341254596,0.0
2AXShSGNe8Pg4sEdm83ZKEpdEvfuXqhDZ1piXmaMw3xYXU1bFC7kcjj5EYjHAf5TpHmNvzVMkErU91xH8ryadSTs,1642449062,DFj2jN63pFw2LS14SQK5t3Ezi7Rdh4Njq1knBo9GfnpC,SOL,0.535801006,-5e-06
