transaction,blocktime,token_acc,token,balance,change
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,3XcFG7j5YymVHJ2ntEvbKgY3hTfY4nazSKNYQmUkJDVJ,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,37876.47521866,4.710338700002467
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,HdXRvcchDKhQ4eevXD13gzygt45AmRDhy2rHBGVnDd6v,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,581.587539497,-0.07215427900007398
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,CqNXBsZkFxXhwjnJGdREsTAV3TgoqdghyW3iYwzMDJAh,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,0,0.0
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,9N6K9DTMvbF9mkHFqWTQ9y3XnqRrSEZn15QYibKHiS6i,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0,0.0
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,Frpbw4Bk9n2jxLy27agQtGAHiLnQWMNKJNRuikBf3B3d,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,0,-4.7103387
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,Do6wgG4TumM94Py3JfuBRyuhZffk2BUSNMpeXSfhQomh,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.000000003,3e-09
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,4MT4B4UxfAYPmrpKvmPczBLDPBzTBApaX5qQqyUk5n9K,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,2205.657337841,0.07215427599976465
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,7xi4XDMRaj5JxtjA8kWmdAbfsYymsQvzsHLj2wMkzwwn,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,309506.41408,-10.094923999975435
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,pcb46dJKp5YLn4bfm7NMkjfPimDaoTLEqj7MhZn46nZ,9bCjWxNQ2WQFuQzsV7g5S3m8qCQ8ub6pd13nWUoXz2eh,870334,467.0
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,5VWjUc8tnQhDDQPbZEVmPeb1GQKFvYcMCxBWQWh9GymG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,950.037913,10.094923999999992
Br6ZLApPLn5ogRrFsQP6rDxcK5zm8tGFnE6hNxHi5fcAtRt8UK4ZwtqCLLFxRMVe8nuvAXojfsDqJN5GTgkXgu2,1642501605,J4pvvkLhJTNVdazMjigkf4V1thNBKAzUaXXWfvvjsDMB,SOL,0.15254024,-5e-06
