transaction,blocktime,token_acc,token,balance,change
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,sWSVjCYaNBtxXvR1RB3TsXsNb6tpZeNDDmBvC4zdLXd,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,163398.084534,4.0000013541430235e-06
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,G45yhM5mZ5RXZpLxGWLk3PVzdAp33z8aH6F9mLW8fQj3,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4940975.994001,0.16100400034338236
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,9SEBxqhP8sTAzmfiQfCPim1MqQXuDPb6fkGzJF7Z339i,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,35270.847894927,-0.0011458759981906042
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,4ehPyGcTKoivzq4vD6pJiSjNziJZ5wnh6FhT9Y7oxigU,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,0.000000011,-1.1399999999999999e-07
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,CJhL3UGesECFt6fvLB3csrGMuHf3M3G78pUzTopUiV8T,GtQ1NT7R5aaTiST7K6ZWdMhwDdFxsSFvVFhBo8vyHGAq,8791.258927,7.900000127847306e-05
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,CeSEpgqc3zV8xDr7Q6PiwJju6a6e92wpAv7Kg6QyFfQB,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,9730.039295924,0.0011459899997134926
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,Fb3XpEJgghTURUGd1wphWr93ruX5egnesfdZtjWCxJFy,ZScHuTtqZukUrtZS43teTKGs2VqkKL8k4QCouR2n6Uo,412.26260872,-4.840999997668405e-05
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,2erUTPT81wVcabaaQiHq3MHmHu3PRhrxWBPq9WqNVmbm,ZScHuTtqZukUrtZS43teTKGs2VqkKL8k4QCouR2n6Uo,0,0.0
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,74b9j23njRpt3PYPxoze2XS29ZgGmucziLB7WrsDpBdD,Eswigpwm3xsipkTqahGi2PEJsJcULQBwZgxhQpr6yBEa,8732.306416,8.600000001024455e-05
4g6ummixSqrWR6zwmsFNBoFM6nzo7g9en5mKuVzx42gaYjxhQQyiLy1izxfsWvm9isRqDRAjT7sv3Y6wGKC7CCxJ,1642497967,5c4tzhRVaCxpmu8o3HrEZ8PWBDKSR6QNkBdQrUo9oe3e,ZScHuTtqZukUrtZS43teTKGs2VqkKL8k4QCouR2n6Uo,0.26158212,4.840999999999873e-05
