blocktime,token,balance,Price,usd_price
2021-10-12 00:36:37,stSOL,47263.555032271,145.01101309267003,6853735.99759078
2021-10-12 00:36:37,wstETH,1860.89902094,3671.521255339951,6832330.309422514
2021-10-12 04:13:34,stSOL,47329.486483613,145.01101309267003,6863296.784144553
2021-10-12 04:13:34,wstETH,1864.49285156,3671.521255339951,6845525.134931936
2021-10-12 08:03:49,stSOL,47159.689686767,145.01101309267003,6838674.378614025
2021-10-12 08:03:49,wstETH,1868.98698931,3671.521255339951,6862025.4572054865
2021-10-12 11:04:30,stSOL,46956.364040724,145.01101309267003,6809189.920693608
2021-10-12 11:04:30,wstETH,1869.30611176,3671.521255339951,6863197.122063718
2021-10-12 15:08:07,stSOL,46891.119781284,145.01101309267003,6799728.784533732
2021-10-12 15:08:07,wstETH,1871.9061215,3671.521255339951,6872743.1130882185
2021-10-12 20:30:40,stSOL,45990.124247983,145.01101309267003,6669074.509457785
2021-10-12 20:30:40,wstETH,1908.43743717,3671.521255339951,7006868.615056158
2021-10-12 22:34:40,stSOL,45669.698895285,145.01101309267003,6622609.304442471
2021-10-12 22:34:40,wstETH,1908.442206,3671.521255339951,7006886.123916865
2021-10-13 06:12:11,stSOL,46323.58709815,150.52315578823308,6972772.517444616
2021-10-13 06:12:11,wstETH,1916.55006619,3636.616441856556,6969757.482347825
2021-10-13 11:54:36,wstETH,1919.07887166,3636.616441856556,6978953.777898284
2021-10-13 11:54:36,stSOL,46377.511214067,150.52315578823308,6980889.345545534
2021-10-13 14:37:02,stSOL,47184.958436461,150.52315578823308,7102428.849592722
2021-10-13 14:37:02,wstETH,1918.46227884,3636.616441856556,6976711.46631114
2021-10-13 19:15:04,stSOL,47405.656189542,150.52315578823308,7135648.971861847
2021-10-13 19:15:04,wstETH,1910.66165169,3636.616441856556,6948343.577360658
2021-10-13 21:13:11,stSOL,47789.596749003,150.52315578823308,7193440.916507016
2021-10-13 21:13:11,wstETH,1902.72320892,3636.616441856556,6919474.505860538
2021-10-14 02:09:22,wstETH,2234.90630686,3712.43009332221,8296933.429342665
2021-10-14 02:09:22,stSOL,56150.716865558,148.74867520611326,8352344.745625313
2021-10-14 03:11:49,stSOL,55766.93678855,148.74867520611326,8295257.967599873
2021-10-14 03:11:49,wstETH,2235.25993214,3712.43009332221,8298246.238473896
2021-10-14 08:08:31,stSOL,55853.468193867,148.74867520611326,8308129.3995044995
2021-10-14 08:08:31,wstETH,2238.98284507,3712.43009332221,8312067.292470047
2021-10-14 11:53:21,stSOL,56095.108015812,148.74867520611326,8344073.00289586
2021-10-14 11:53:21,wstETH,2239.1893392,3712.43009332221,8312833.887492354
2021-10-14 14:42:15,wstETH,2239.26737536,3712.43009332221,8313123.591281106
2021-10-14 14:42:15,stSOL,56304.152369742,148.74867520611326,8375168.073602265
2021-10-14 22:07:06,wstETH,2210.23867332,3712.43009332221,8205356.564257725
2021-10-14 22:07:06,stSOL,57054.012228078,148.74867520611326,8486708.734119989
2021-10-15 03:01:49,stSOL,57297.092101013,150.07132205035228,8598650.361239817
2021-10-15 03:01:49,wstETH,2210.23417608,3931.0581178698058,8688559.000272566
2021-10-15 10:56:22,stSOL,58423.793606762,150.07132205035228,8767735.945763692
2021-10-15 10:56:22,wstETH,2382.82228717,3931.0581178698058,9367012.895420726
2021-10-15 13:22:58,stSOL,57889.299425165,150.07132205035228,8687523.69730321
2021-10-15 13:22:58,wstETH,2363.43343776,3931.0581178698058,9290794.201551389
2021-10-15 15:38:37,stSOL,54893.109606231,150.07132205035228,8237881.530061979
2021-10-15 15:38:37,wstETH,2285.20499653,3931.0581178698058,8983273.652605897
2021-10-15 16:27:44,stSOL,55163.155488176,150.07132205035228,8278407.672579719
2021-10-15 16:27:44,wstETH,2273.9302982,3931.0581178698058,8938952.158209218
2021-10-15 21:59:31,stSOL,55512.177739189,150.07132205035228,8330785.903214229
2021-10-15 21:59:31,wstETH,2254.54686874,3931.0581178698058,8862754.770478327
2021-10-16 03:38:10,stSOL,55384.383216074,163.42678284551627,9051291.568886181
2021-10-16 03:38:10,wstETH,2252.25275466,4048.4048028495367,9118030.869196642
2021-10-16 08:59:11,stSOL,56060.350100125,163.42678284551627,9161762.662056744
2021-10-16 08:59:11,wstETH,2217.88670799,4048.4048028495367,8978903.200802865
2021-10-16 09:35:51,wstETH,2217.95441807,4048.4048028495367,8979177.318615938
2021-10-16 09:35:51,stSOL,56015.019890549,163.42678284551627,9154354.491740027
2021-10-16 12:37:53,wstETH,2226.23619511,4048.4048028495367,9012705.304560803
2021-10-16 12:37:53,stSOL,55725.794750119,163.42678284551627,9107087.357521508
2021-10-16 14:41:58,stSOL,56289.063635581,163.42678284551627,9199140.579349542
2021-10-16 14:41:58,wstETH,2229.94519114,4048.4048028495367,9027720.821902405
2021-10-16 17:28:43,stSOL,55556.118114631,163.42678284551627,9079357.650859652
2021-10-16 17:28:43,wstETH,2237.78541994,4048.4048028495367,9059461.241831763
2021-10-17 00:01:59,stSOL,55531.883932267,157.81579505784637,8763808.41383076
2021-10-17 00:01:59,wstETH,2228.2832382,3999.710643860946,8912488.185365478
2021-10-17 06:03:05,stSOL,55513.797625019,157.81579505784637,8760954.108872756
2021-10-17 06:03:05,wstETH,2228.08282265,3999.710643860946,8911686.581156945
2021-10-17 08:48:19,stSOL,42982.573943956,157.81579505784637,6783329.080598087
2021-10-17 08:48:19,wstETH,1749.93526721,3999.710643860946,6999234.714327485
2021-10-17 15:07:23,stSOL,42585.892689999,157.81579505784637,6720726.51312032
2021-10-17 15:07:23,wstETH,1749.19327599,3999.710643860946,6996266.964147201
2021-10-17 23:06:59,stSOL,42837.367795715,157.81579505784637,6760413.256866147
2021-10-17 23:06:59,wstETH,1741.11804589,3999.710643860946,6963968.380364604
2021-10-18 03:25:24,stSOL,43072.302093436,158.9391814477123,6845876.437799303
2021-10-18 03:25:24,wstETH,1730.79305846,3979.329335757798,6887395.59165584
2021-10-18 04:49:06,wstETH,1740.86611175,3979.329335757798,6927479.588113389
2021-10-18 04:49:06,stSOL,43576.68903245,158.9391814477123,6926043.285019104
2021-10-18 12:02:33,stSOL,43940.434128486,158.9391814477123,6983856.632838686
2021-10-18 12:02:33,wstETH,1765.80774726,3979.329335757798,7026730.56998011
2021-10-18 17:19:32,stSOL,43693.854286621,158.9391814477123,6944665.434611156
2021-10-18 17:19:32,wstETH,1775.08349179,3979.329335757798,7063641.8122993335
2021-10-19 14:17:45,stSOL,44003.969468129,157.0941800641442,6912767.503163361
2021-10-19 14:17:45,wstETH,1764.1235787,3892.5082663201415,6866865.612900021
2021-10-19 19:34:20,wstETH,1757.10800295,3892.5082663201415,6839557.42630015
2021-10-19 19:34:20,stSOL,44170.889458286,157.0941800641442,6938989.66215339
