blocktime,token,balance,Price,usd_price
2022-01-02 14:09:19,stSOL,0.915968267,181.9444059506193,166.65530220893325
2022-01-05 00:07:59,stSOL,2358.609888584,171.36240231868604,404177.05664036266
2022-01-05 00:35:26,stSOL,2851.498959713,171.36240231868604,488639.71194565383
2022-01-05 03:30:03,stSOL,5206.49991351,171.36240231868604,892198.3328511047
2022-01-05 04:10:09,stSOL,10754.620366463,171.36240231868604,1842937.582022567
2022-01-05 04:13:17,stSOL,11031.135059649,171.36240231868604,1890321.8041233346
2022-01-05 04:17:14,stSOL,11350.420620786,171.36240231868604,1945035.3449054407
2022-01-05 04:20:14,stSOL,11490.49723984,171.36240231868604,1969039.2108552137
2022-01-05 04:21:28,stSOL,11649.864613715,171.36240231868604,1996348.786893654
2022-01-05 04:24:38,stSOL,12158.618708453,171.36240231868604,2083530.1107574257
2022-01-05 04:26:28,stSOL,12552.431133653,171.36240231868604,2151014.7540026456
2022-01-05 04:28:23,stSOL,13971.017932469,171.36240231868604,2394107.19574533
2022-01-05 04:31:31,stSOL,14243.780845984,171.36240231868604,2440848.503868704
2022-01-05 04:35:06,stSOL,14560.853812855,171.36240231868604,2495182.889182032
2022-01-05 04:38:25,stSOL,15367.2005153,171.36240231868604,2633360.3972147577
2022-01-05 04:46:56,stSOL,15834.738856041,171.36240231868604,2713478.890460228
2022-01-05 04:50:47,stSOL,15640.464248196,171.36240231868604,2680187.526950388
2022-01-05 04:53:09,stSOL,15971.122834462,171.36240231868604,2736849.9766402305
2022-01-05 04:54:14,stSOL,22703.7800893,171.36240231868604,3890574.2978176
2022-01-05 04:56:11,stSOL,22875.240141861,171.36240231868604,3919956.104326141
2022-01-05 04:58:11,stSOL,23824.575188483,171.36240231868604,4082636.438520609
2022-01-05 05:06:01,stSOL,23827.50319923,171.36240231868604,4083138.1894762297
2022-01-05 05:08:33,stSOL,23910.337393264,171.36240231868604,4097332.8559600282
2022-01-05 05:10:45,stSOL,24764.971926692,171.36240231868604,4243785.08271276
2022-01-05 05:13:51,stSOL,25375.282197297,171.36240231868604,4348369.3168434
2022-01-05 05:19:16,stSOL,25883.292495504,171.36240231868604,4435423.181946783
2022-01-05 05:30:44,stSOL,25801.281254225,171.36240231868604,4421369.538624076
2022-01-05 06:00:44,stSOL,26315.533732268,171.36240231868604,4509493.078659862
2022-01-05 06:08:30,stSOL,26501.224100163,171.36240231868604,4541313.4261897905
2022-01-05 06:14:22,stSOL,29003.281220915,171.36240231868604,4970071.945140428
2022-01-05 06:20:40,stSOL,33619.592090231,171.36240231868604,5761134.06555628
2022-01-05 06:25:31,stSOL,34763.768850995,171.36240231868604,5957202.943958011
2022-01-05 06:27:41,stSOL,35766.372301253,171.36240231868604,6129011.479767226
2022-01-05 06:33:23,stSOL,37235.276987738,171.36240231868604,6380726.515620471
2022-01-05 06:42:39,stSOL,45489.99371534,171.36240231868604,7795274.604522593
2022-01-05 06:53:10,stSOL,47433.267626214,171.36240231868604,8128278.69025319
2022-01-05 06:56:45,stSOL,47572.254103305,171.36240231868604,8152095.746857314
2022-01-05 07:01:32,stSOL,49548.335584193,171.36240231868604,8490721.816599749
2022-01-05 07:04:59,stSOL,52392.995046471,171.36240231868604,8978189.495834287
2022-01-05 07:07:55,stSOL,53917.027033173,171.36240231868604,9239351.278286062
2022-01-05 07:11:27,stSOL,54324.610963157,171.36240231868604,9309195.839674613
2022-01-05 07:16:48,stSOL,54829.654039686,171.36240231868604,9395741.234543042
2022-01-05 07:29:43,stSOL,55124.26358839,171.36240231868604,9446226.234554984
2022-01-05 07:32:10,stSOL,55188.605771891,171.36240231868604,9457252.065690145
2022-01-05 07:38:07,stSOL,55365.779494311,171.36240231868604,9487612.980391778
2022-01-05 07:40:17,stSOL,55644.260281831,171.36240231868604,9535334.117140805
2022-01-05 07:44:13,stSOL,56035.008488292,171.36240231868604,9602293.66850168
2022-01-05 07:52:33,stSOL,56146.182069353,171.36240231868604,9621344.640426666
2022-01-05 08:03:04,stSOL,56148.282033683,171.36240231868604,9621704.495359037
2022-01-05 08:15:39,stSOL,56377.250394064,171.36240231868604,9660941.063648896
2022-01-05 08:42:58,stSOL,57288.136300768,171.36240231868604,9817032.660859928
2022-01-05 08:56:32,stSOL,65560.332753181,171.36240231868604,11234576.117397534
2022-01-05 09:00:00,stSOL,66135.334308209,171.36240231868604,11333109.76520411
2022-01-05 09:07:12,stSOL,68590.201278063,171.36240231868604,11753781.666531086
2022-01-05 09:21:05,stSOL,74083.563623587,171.36240231868604,12695137.43486709
2022-01-05 09:24:32,stSOL,74090.185031257,171.36240231868604,12696272.095192153
2022-01-05 09:28:00,stSOL,72130.456861241,171.36240231868604,12360448.368086606
2022-01-05 09:33:08,stSOL,73132.876979547,171.36240231868604,12532225.487692105
2022-01-05 09:43:13,stSOL,73146.839819906,171.36240231868604,12534618.193559216
2022-01-05 10:20:28,stSOL,73738.114890236,171.36240231868604,12635940.510042114
2022-01-05 10:41:29,stSOL,88103.830317255,171.36240231868604,15097684.016642699
2022-01-05 10:44:28,stSOL,88734.004862566,171.36240231868604,15205672.240607278
2022-01-05 10:59:19,stSOL,89313.294242331,171.36240231868604,15304940.66036151
2022-01-05 11:14:40,stSOL,92087.574865704,171.36240231868604,15780348.052688887
2022-01-05 11:40:33,stSOL,92126.932367709,171.36240231868604,15787092.448781729
2022-01-05 11:45:59,stSOL,92463.992681139,171.36240231868604,15844851.913817383
2022-01-05 11:50:22,stSOL,92801.08434834,171.36240231868604,15902616.751710556
2022-01-05 11:59:47,stSOL,93630.638553705,171.36240231868604,16044771.15319547
2022-01-05 12:04:14,stSOL,94002.580456236,171.36240231868604,16108508.011136167
2022-01-05 12:10:49,stSOL,94407.692442411,171.36240231868604,16177928.97429521
2022-01-05 12:19:53,stSOL,94187.467108094,171.36240231868604,16140190.631955212
2022-01-05 12:39:15,stSOL,94188.762686654,171.36240231868604,16140412.645409646
2022-01-05 13:00:29,stSOL,94427.879548142,171.36240231868604,16181388.285229133
2022-01-05 13:13:17,stSOL,95588.723126632,171.36240231868604,16380313.229555402
2022-01-05 13:20:51,stSOL,96200.503351148,171.36240231868604,16485149.358519528
2022-01-05 13:25:41,stSOL,96593.299155948,171.36240231868604,16552459.791250758
2022-01-05 13:33:57,stSOL,97852.512806146,171.36240231868604,16768241.667381167
2022-01-05 13:48:18,stSOL,98218.902841307,171.36240231868604,16831027.143991984
2022-01-05 13:54:25,stSOL,99397.760102943,171.36240231868604,17033038.956336755
2022-01-05 14:03:36,stSOL,99501.343935293,171.36240231868604,17050789.33068963
2022-01-05 14:16:37,stSOL,99913.994355806,171.36240231868604,17121502.098066553
2022-01-05 14:18:29,stSOL,100025.821186978,171.36240231868604,17140665.012499876
2022-01-05 14:20:11,stSOL,99870.186395037,171.36240231868604,17113995.060668495
2022-01-05 14:25:51,stSOL,99876.305429019,171.36240231868604,17115043.63303152
2022-01-05 14:34:51,stSOL,99926.646232124,171.36240231868604,17123670.153986245
2022-01-05 14:52:29,stSOL,100381.925959655,171.36240231868604,17201687.981822953
2022-01-05 14:55:18,stSOL,100387.332594494,171.36240231868604,17202614.475757424
2022-01-05 15:01:58,stSOL,100632.892870495,171.36240231868604,17244694.274566993
2022-01-05 15:10:19,stSOL,105290.22702799,171.36240231868604,18042786.244196214
