borrower,bETHcollateral,percent,ust_loan,bLunacollateral
terra15mjptl7mngy8lkvc27ux3hqs489wkjm370sd87,257402174.0,0.49607070045259155,461103054950,0.0
terra1thv2vquzzvr68vd65xwznv38nt4wqyvgsqveh5,254485444.0,0.49905523025390836,300281002504,0.0
terra1dn3gh43vlr2wg68wxqvdz5q4kp2732j4w6gtw9,249999998.0,0.5019871560750179,435216868137,0.0
terra1fv49d6c0pjxrrca2hljgxwjycynkwe00wd8mwe,248146547.0,0.5048973451725733,1283616450405,44999282010.0
terra12q42p8f5ulyqa2jsyspyed6u7akq44lz426gwm,246467975.0,0.5077878484756136,419877431503,0.0
terra167q5umfp20l833tgkhhx7aetg357yzd949zh0n,240009997.0,0.5106026145282467,1186916864763,48000011864.0
terra1xvnqvaau2ruwj0xz5tffhddhkxaj3ak8874w6w,235412462.0,0.5133634620541285,490587269464,7375399357.0
terra1umkermkvx66llyn8cy0ncumnprvupl0mck8jty,230999997.0,0.5160725614993235,549552271236,10000966974.0
terra174evzq0tnd0uvzkkrvg08n9geqpcsvdrychcm8,224999999.0,0.5187112947477043,2139307554957,79989695274.0
terra1c9hs668ee4rk5nacx2tygd3tgv0a9ph28zt4w0,224224508.0,0.5213409332676645,1348505606860,42607979861.0
terra1vzvu85yn6esespvsqjhxvf99yfk5g9tmn6lxd6,220667151.0,0.5239288521599181,436601487892,1000000116.0
terra1nuxlxnyxncdl8365cv7837ulxadmy4srjwen5m,216794364.0,0.5264713521549886,365238908302,1434496318.0
terra1txp6ztjrlpd83k23p2v9dxf2gy85ucagzh6eqf,213102924.0,0.5289705600367005,486109840878,1734441510.0
terra1qt7v4whk63hkqhu9y2rk8m79yxs3wmdwa3m6z6,207000000.0,0.5313981946360004,867282507136,22499818338.0
terra1w9hn8qt9zcqdkh6p6wklywh20rjx46v7spqkx2,205999999.0,0.5338141015201942,287380304112,0.0
terra1qxprregw2tvclv5ecg23u8cm8vwx500a6lkuq0,201999999.0,0.5361830975908749,744061496214,18325498112.0
terra1heyxw7y2nlyheqy5m4jfv7v68krf9ckwz7c9pn,199660968.0,0.5385246621997951,456662486208,5217685253.0
terra16zj3mj8jhdrl5gzanr7fvxc9t642x0rr3duyjw,191208870.0,0.5407671031104474,1718830055116,65848614313.0
terra1cwlugx6zmy9zf2ncwflg9rkrfxms8k2mn6w0ha,188999999.0,0.5429836390372108,196018766650,0.0
terra1kffn22y7xkrxafxlqsv38t072rr5q5k8qzyxf7,187869999.0,0.5451869226591568,235823808745,0.0
terra1jzeq3y5fxxhceuu27pmvjfhe0ax0hxm2x2cqx5,183999999.0,0.5473448200690288,272364200125,0.0
terra1h2u6ah0e85xgpvzx0uyhms4jqs3e2t8ljq54d2,180027356.0,0.5494561275001693,253080529542,724436046.0
